('bug', 0.058966612157070775)
('call', 0.045366177008272168)
('default', 0.045366177008272168)
('8', 0.038677143670478475)
('bytebuffer', 0.038677143670478475)
('option', 0.038677143670478475)
('true', 0.038677143670478475)
('int', 0.032098664126817611)
('returns', 0.032098664126817611)
('application', 0.032060037094763461)
('false', 0.032060037094763461)
('local', 0.032060037094763461)
('number', 0.032060037094763461)
('transfer', 0.032060037094763461)
('method', 0.028374411668501409)
('abstractniostreamchannel', 0.026966224200094757)
('blocker', 0.026966224200094757)
('files', 0.026966224200094757)
('giving', 0.026966224200094757)
('handler', 0.026966224200094757)
('id', 0.026966224200094757)
('priority', 0.026966224200094757)
('rfe', 0.026966224200094757)
('stop', 0.026966224200094757)
('verification', 0.026966224200094757)
('//', 0.025513280039431208)
('count', 0.025513280039431208)
('forever', 0.025513280039431208)
('perform', 0.025513280039431208)
('process', 0.025513280039431208)
('public', 0.025513280039431208)
('requested', 0.025513280039431208)
('setting', 0.025513280039431208)
('transferred', 0.025513280039431208)
('thread', 0.023036530634631402)
('fails', 0.023036458063930176)
('3', 0.021217871922670217)
('bytes', 0.021217871922670217)
('ch', 0.021217871922670217)
('1', 0.019176459388761669)
('+', 0.019035348034260879)
('10', 0.019035348034260879)
('101', 0.019035348034260879)
('4', 0.019035348034260879)
('==', 0.019035348034260879)
('actual', 0.019035348034260879)
('back', 0.019035348034260879)
('class', 0.019035348034260879)
('connected', 0.019035348034260879)
('doselect', 0.019035348034260879)
('elapsed', 0.019035348034260879)
('enabled', 0.019035348034260879)
('leak', 0.019035348034260879)
('lockanddoselect', 0.019035348034260879)
('longer', 0.019035348034260879)
('memory', 0.019035348034260879)
('os_prio=0', 0.019035348034260879)
('prio=5', 0.019035348034260879)
('pushbackstreamchannel', 0.019035348034260879)
('queuedniotcpserver', 0.019035348034260879)
('random', 0.019035348034260879)
('remaining', 0.019035348034260879)
('sec', 0.019035348034260879)
('select', 0.019035348034260879)
('selectorimpl', 0.019035348034260879)
('side', 0.019035348034260879)
('total', 0.019035348034260879)
('transferto', 0.019035348034260879)
('undertow', 0.019035348034260879)
('unexpected', 0.019035348034260879)
('return', 0.018725973002781227)
('%s', 0.017871034784084472)
('/api/src/main/java/org/xnio/_private/messages', 0.017871034784084472)
('/nio-impl/src/main/java/org/xnio/nio/log', 0.017871034784084472)
('137', 0.017871034784084472)
('338', 0.017871034784084472)
('384', 0.017871034784084472)
('400', 0.017871034784084472)
('cancelled', 0.017871034784084472)
('deprecated', 0.017871034784084472)
('dr11', 0.017871034784084472)
('eap', 0.017871034784084472)
('exceptions', 0.017871034784084472)
('field', 0.017871034784084472)
('ids', 0.017871034784084472)
('illegalstateexception', 0.017871034784084472)
('license', 0.017871034784084472)
('link', 0.017871034784084472)
('makes', 0.017871034784084472)
('migrate', 0.017871034784084472)
('moment', 0.017871034784084472)
('niopipechannel', 0.017871034784084472)
('pooled', 0.017871034784084472)
('queued', 0.017871034784084472)
('remoting3', 0.017871034784084472)
('required', 0.017871034784084472)
('selectors', 0.017871034784084472)
('shutdownwrites', 0.017871034784084472)
('tasks', 0.017871034784084472)
('things', 0.017871034784084472)
('throwable', 0.017871034784084472)
('timed', 0.017871034784084472)
('times', 0.017871034784084472)
('translatingsuspendablechannel', 0.017871034784084472)
('waits', 0.017871034784084472)
('buffers', 0.016156943184726269)
('connections', 0.016156943184726269)
('sun', 0.016156943184726269)
('0', 0.015881666411769912)
('make', 0.015186467896744604)
('shutdown', 0.015186467896744604)
('buffer', 0.014788753380721498)
('-', 0.014704430663090462)
('->', 0.01262476699310322)
('//docs', 0.01262476699310322)
('129', 0.01262476699310322)
('13', 0.01262476699310322)
('14', 0.01262476699310322)
('144', 0.01262476699310322)
('150', 0.01262476699310322)
('212', 0.01262476699310322)
('250', 0.01262476699310322)
('256', 0.01262476699310322)
